ws,P,ct,cp
4.0,66.909836,0.8068707,0.30883324
4.5,111.13357,0.79707086,0.35085213
5.0,157.16534,0.78775746,0.39221266
5.5,236.60278,0.7870704,0.42096046
6.0,317.5693,0.7864754,0.4473719
6.5,411.52713,0.7866417,0.4531035
7.0,506.1474,0.78681654,0.45864275
7.5,635.16943,0.78697467,0.46034372
8.0,772.9866,0.78655994,0.46188134
8.5,934.4373,0.7828012,0.4627094
9.0,1099.7317,0.7775125,0.46209878
9.5,1274.462,0.748299,0.45648882
10.0,1434.1298,0.7142836,0.4412553
10.5,1565.7592,0.6690009,0.41655114
11.0,1695.7856,0.6221886,0.3910165
11.5,1809.993,0.5663214,0.3626166
12.0,1911.9772,0.50726205,0.33407068
12.5,1963.1465,0.4425647,0.30576307
13.0,1993.65,0.37943667,0.27803665
13.5,2017.2168,0.33843672,0.25261372
14.0,2047.9604,0.29867315,0.22753628
14.5,2049.6099,0.26929045,0.20689934
15.0,2050.0,0.2403971,0.18727742
15.5,2050.0,0.21329041,0.17080387
16.0,2050.0,0.18748164,0.15487932
16.5,2050.0,0.17195214,0.14113413
17.0,2050.0,0.1568983,0.12896125
17.5,2050.0,0.14212963,0.1181381
18.0,2050.0,0.12753479,0.10756175
18.5,2050.0,0.114181675,0.09871216
19.0,2050.0,0.10879103,0.09052426
19.5,2050.0,0.10366738,0.08406969
20.0,2050.0,0.09862026,0.07811201
20.5,2050.0,0.093573146,0.07215433
21.0,2050.0,0.08854742,0.067020245
21.5,2050.0,0.08356764,0.06365411
22.0,2050.0,0.07858786,0.060287975
22.5,2050.0,0.07360807,0.05692184
23.0,2050.0,0.06862829,0.053555705
23.5,2050.0,0.06364851,0.050189573
24.0,2050.0,0.05866872,0.04682344
24.5,2050.0,0.05368894,0.043457303
25.0,2050.0,0.04891,0.04026
